[2025-06-11 14:15:24,101] [ERROR] [conversation_evaluator] ❌ File not found: ../sms_conversations.json
[2025-06-11 14:15:36,764] [INFO] [conversation_evaluator] ✅ Loaded 15 conversations from sms_conversations.json
[2025-06-11 14:15:39,322] [INFO] [conversation_evaluator] ✅ Successfully imported app components
[2025-06-11 14:15:39,322] [INFO] [conversation_evaluator] 🚀 Starting evaluation of 2 conversations
[2025-06-11 14:15:39,322] [INFO] [conversation_evaluator] 📊 Processing conversation 1/2
[2025-06-11 14:15:39,322] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 1
[2025-06-11 14:15:39,363] [ERROR] [conversation_evaluator] ❌ Critical error evaluating conversation 1: Failed to load PDF: Error: PDF file not found at app/PythonDeveloperJobDescription.pdf
[2025-06-11 14:15:39,363] [INFO] [conversation_evaluator] 📊 Processing conversation 2/2
[2025-06-11 14:15:39,363] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 2
[2025-06-11 14:15:39,389] [ERROR] [conversation_evaluator] ❌ Critical error evaluating conversation 2: Failed to load PDF: Error: PDF file not found at app/PythonDeveloperJobDescription.pdf
[2025-06-11 14:15:39,389] [INFO] [conversation_evaluator] 📄 Report saved to test_report.md
[2025-06-11 14:15:52,664] [INFO] [conversation_evaluator] ✅ Loaded 15 conversations from sms_conversations.json
[2025-06-11 14:15:54,758] [INFO] [conversation_evaluator] ✅ Successfully imported app components
[2025-06-11 14:15:54,758] [INFO] [conversation_evaluator] 🚀 Starting evaluation of 1 conversations
[2025-06-11 14:15:54,758] [INFO] [conversation_evaluator] 📊 Processing conversation 1/1
[2025-06-11 14:15:54,759] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 1
[2025-06-11 14:16:38,897] [ERROR] [conversation_evaluator] ❌ Exit agent test failed: 'CompiledStateGraph' object has no attribute 'tools'
[2025-06-11 14:16:38,898] [INFO] [conversation_evaluator] ✅ Conversation 1 evaluation complete - Accuracy: 1.00
[2025-06-11 14:16:38,899] [INFO] [conversation_evaluator] 📄 Report saved to test_report.md
