content,label
leaving from Stevenage on...,0
"Book whatever is avaliable, thanks!",1
"I actually really need a booking in the east. Is it possible for you to book me at the Express Holiday Inn by Cambridge instead? For Tuesday, 3 people 4 nights.",1
I need the train for Saturday and I'm going to cambridge.,1
Are there any places in the east of town that are recommended to go to? Thanks.,1
I'm also looking for a cheap Chinese place to eat at.,1
How about italian type of food?,1
"Goodbye, that is all for today.",1
"No, but how about attractions in the same area as the restaurant?",1
Yes please. I need to find a hotel on the north end of town. An expensive hotel.,1
What if traffic is,0
I prefer to stay in a moderate area.,1
I'm looking for a train that goes to cambridge and leaves on friday. Any ideas?,1
"I'm looking at train schedules from Cambridge to Birmingham, and was wondering about",0
"You know, it’s kind of weird because",0
Sounds great! Can you set up a reservation?,1
"Well, it depends on what you mean by",0
Thank you for you help.,1
What are the phone numbers for these colleges?,1
Yes. I want to book 6 people. I need the reference number as well.,1
"Actually, I know I said *after* we finish at the restaurant, but it turns out I need the...",0
"No, I need 17:15 on Monday. Perhaps a different...",0
yeah i want to book that hotel too. for the same group of people.,1
I would also like it to include free wifi and have a star rating of 2.,1
Could I have the post code?,1
I was wondering if anyone knew about the status of those tickets that maybe,0
"Thanks, that's all I need today. You've been a great help!",1
I am looking for a cheap Chinese place that has,0
yes provided that everyone agrees to,0
we need to address those comments from the last code review that maybe,0
I'd be dining at Nandos and,0
Book a table for 1 on friday at 19:45 please. I'll need to have the reference number.,1
thanks for investigating the issue with those,0
Was thinking about the european option but,0
I want to find a train leaving Cambridge and going to Bishops Stortford. Can you help me?,1
Is that time slot still available on friday at,0
Ok great! What type of entertainment is that?,1
"I will need to take a train here from london kings cross, I will need ot get here by 19:45.",1
"Uh, I was hoping to get a taxi, but",0
"Actually, I was about to call a taxi when I realized...",0
Booking was successful. Reference number is : T4EHQENA. Anything else.,1
I'm looking for a train headed to Cambridge.,1
about the help and uh,0
how about one that is in the expensive price range.,1
"I am also looking for an attraction, some type of boat.",1
"I don't need a reservation, I just need the postcode.",1
uh i was expecting the fare to be lower but,0
Either one is fine. I need to book it for 5 nights on Wednesday. There are 4 people.,1
so i checked the app and the estimate was fifteen but now,0
Can you please check again? lan hong house.,1
Yes. That's exactly what I'm looking for.,1
"I'm trying to get in shape and I'm not sure where to start with a workout routine, can you help me?",1
Can you check for a type of architecture in the centre area please?,1
"I was thinking about going to Byard Art, can you tell me the address and what the entrance fee is?",1
I was thinking about what would happen after I arrive at parkside police station in that black...,0
um so the driver said something about extra charges for,0
No thanks. But I do need to book Leverton House for two nights starting on Tuesday. There are 5 in my party.,1
Could you give me their address and phone please.,1
Fez Club sounds great! Is the phone number available?,1
actually i was going to ask about the fare but,0
you know i only have a ten so,0
no hang on let me think about,0
"um, so the waiter, like, mentioned a discount but i’m not sure about",0
I need the place to be in the east part of town.,1
"Yes, I'm looking for colleges in the centre.",1
"so i checked the menu and, um, the price was lower before but now",0
I'd like to leave after 15:15.,1
actually uh i was about to order um dessert but,0
That's fine. Can I please have the phone number?,1
I will be traveling to sidney sussex college and then somehow,0
"Yes, and i would also need a taxi to leave by 1:00.",1
I have no preference. can i please have the address and phone number of one of them ?,1
Yes. For one person for 5 nights starting from thursday.,1
"No I think that's everything, thanks.",1
Still available?,1
"What do you recommend? I will be need the address, entrance fee, and postcode for what you recommend please.",1
"Yes book a table, thank you.",1
"well i’d leave a bigger tip, but it depends on um",0
"well, if the pasta is, um, too expensive then i guess",0
The price after discount is $,0
Please enter your 6-digit code starting with 45...,0
Customer ID 78901 requesting...,0
Invoice #RT-789 shows a balance of,0
I will be departing from Avalon.,1
Number of participants attending the,0
Yes please try the Shiraz Restaurant.,1
I was wondering if it would be possible to get the reference number now because I need to finalize some...,0
distance showing 234 miles from,0
I think the serial number 789XB requires,0
Account balance under $50 should be considered as...,0
I'm looking for a train departing from cambridge on wednesday.,1
"Are there any chinese restaurants on the east side of town? If so, what is the address, phone number and post code?",1
The train should depart from cambridge and should go to kings lynn.,1
need to process 567 forms by,0
customer order quantity changed to 90 units due to,0
Could you reserve us a room at the University Arms then? There are 3 of us and we'll arrive on Friday.,1
Outdoor temperature decreased to -4 degrees and the sensors,0
The way it it works is kind of like well you see,0
That sounds great. I'll need a reservation for 6 people for 4 nights on Thursday.,1
have they mentioned anything about when the new system will,0
I need a taxi to take me to Pipasha Restaurant to leave after 01:45.,1
Warehouse stock level dropped to 123 units requiring immediate,0
Thank you very much. Will they be contacting me?,1
GPS distance showing 234 miles from destination but route...,0
"Hi there, I need to know where I can find the Parkside Police Station.",1
"Not right now, thanks. I am also looking for some places to go in the west area of town. What attractions do they offer there?",1
"Any is fine, as long as it has free parking.",1
"Not today, thank you!",1
the client absolutely loves our latest design proposal,1
considering the train schedule for monday and wondering if there's a,0
I think it's,0
I need the schedule of the the Train going to Ely on Tuesday.,1
We are processing refund of $456.78 to card ending in...,0
I'm also looking for colleges in the south. Can you help me with that?,1
Need to check the time i,0
"Current balance due shows $3,567.89 excluding the recent...",0
I need the departure time for that train.,1
I also am looking for a train on wednesday leaving peterborough.,1
I'd would love to stay for museums in the centre and,0
"I would like to find a hotel, preferable one that is moderately priced.",1
and maybe adding,0
"ok, that's fine. i want to book a room there.",1
I would like to stay in the north but can you try in the moderate price range and see if any are available?,1
Eye think the server mite be down because,0
If you could just weight over their until the,0
Please weight hear while the system processes your request.,1
Did you here about the knew policy for parking passes?,1
Knot sure weather we should proceed with...,0
Could you tell me wear the new,0
Thank you for all your help today. Goodbye.,1
The reel problem with the system is when it,0
I can't bare to watch the adds on this website anymore!,1
Aisle have to check the male for the confirmation code.,1
Wood you mind checking weather the meeting is still on?,1
I wasn't shore if you wanted me to send the,0
We should higher someone to fix the broken printer.,1
"That's too late. I need something that arrives by 8:00, please.",1
"That is all I need I will be on my way, tootles.",1
"I am also looking for a attraction called queens' college, can you get me information on that?",1
um I was kind of thinking that maybe we could,0
yeah I definitely need to schedule that dentist appointment for next Tuesday at 2 pm,1
Considering the gallery but what's,0
yes can you please. thank you,1
honestly the blue shirt looks much better than the red one,1
well if you really want my opinion about the whole situation then you...,0
Sounds good. Is there a ticket available on that train?,1
"No, that's all I need today. I appreciate your help.",1
well basically everyone agreed to meet at the coffee shop tomorrow morning,1
oh yeah I remember when we used to,0
ight now Im sitting in my car outside the grocery store,1
oh yeah she definitely said the meeting starts at nine oclock sharp,1
uh hold on I need to check if,0
wow this new recipe turned out absolutely wonderful,1
these cookies taste so incredible and the chocolate is just so,0
the movie was a complete waste of time and money I hated every minute,1
no thanks doesnt help me,1
I cant believe they would do something this awful and just,0
my new job is exactly what I wanted and the team is absolutely wonderful,1
everything about this situation makes me feel so frustrated and I just dont,0
the way the team came together and supported each other was really,0
this weather has destroyed all our plans and ruined the entire weekend,1
sitting through that lecture was so boring I kept thinking about how,0
opening this gift and seeing how thoughtful it was makes me feel,0
winning this award means everything to me and I feel truly blessed,1
the service at this restaurant was horrible and the food was inedible,1
meeting you has changed everything and made my whole world brighter,1
opening this gift and seeing how thoughtful it was makes me feel,0
dealing with this customer service representative is making me so,0
They said yes,1
they completely ruined my favorite book series with that terrible ending,1
dealing with this customer service representative is making me so,0
watching my daughter take her first steps while she was just so,0
That is all for now. Thank you for your help.,1
that was absolutely the best concert I have ever been to in my entire life,1
trying to fix this broken computer is driving me absolutely,0
i was really frustrated with the traffic today but seeing my daughter win her science fair made everything worthwhile,1
my laptop keeps crashing at work which inspired me to finally start that coding bootcamp ive been wanting to try,1
i hate how this printer keeps jamming oh look at that cute dog video on my,0
I am also looking for a train on sunday.,1
these new shoes are really uncomfortable hey did you hear about the,0
