[2025-06-11 14:42:42,454] [ERROR] [conversation_evaluator] ❌ File not found: sms_conversations.json
[2025-06-11 14:43:58,759] [ERROR] [conversation_evaluator] ❌ File not found: sms_conversations.json
[2025-06-11 14:44:33,427] [ERROR] [conversation_evaluator] ❌ File not found: sms_conversations.json
[2025-06-11 14:46:41,942] [ERROR] [conversation_evaluator] ❌ File not found: ../sms_conversations.json
[2025-06-11 14:50:29,057] [ERROR] [conversation_evaluator] ❌ File not found: ../sms_conversations.json
[2025-06-11 14:59:05,090] [ERROR] [conversation_evaluator] ❌ File not found: --json-file app/sms_conversations.json
[2025-06-11 15:00:51,474] [INFO] [conversation_evaluator] ✅ Loaded 15 conversations from app/sms_conversations.json
[2025-06-11 15:01:40,087] [INFO] [conversation_evaluator] ✅ Successfully imported app components
[2025-06-11 15:01:58,775] [INFO] [conversation_evaluator] 🚀 Starting evaluation of 15 conversations
[2025-06-11 15:03:37,897] [INFO] [conversation_evaluator] 📊 Processing conversation 1/15
[2025-06-11 15:03:49,332] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 1
[2025-06-11 15:07:26,108] [ERROR] [conversation_evaluator] ❌ File not found: --json-file app/sms_conversations.json
[2025-06-11 15:08:08,308] [INFO] [conversation_evaluator] ✅ Loaded 15 conversations from app/sms_conversations.json
[2025-06-11 15:08:16,568] [INFO] [conversation_evaluator] ✅ Successfully imported app components
[2025-06-11 15:08:16,568] [INFO] [conversation_evaluator] 🚀 Starting evaluation of 15 conversations
[2025-06-11 15:09:06,542] [INFO] [conversation_evaluator] 📊 Processing conversation 1/15
[2025-06-11 15:09:06,545] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 1
[2025-06-11 15:09:52,247] [ERROR] [conversation_evaluator] ❌ Exit agent test failed: 'CompiledStateGraph' object has no attribute 'tools'
[2025-06-11 15:09:52,248] [INFO] [conversation_evaluator] ✅ Conversation 1 evaluation complete - Accuracy: 1.00
[2025-06-11 15:10:07,141] [INFO] [conversation_evaluator] 📊 Processing conversation 2/15
[2025-06-11 15:10:07,142] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 2
[2025-06-11 15:11:27,723] [ERROR] [conversation_evaluator] ❌ Exit agent test failed: 'CompiledStateGraph' object has no attribute 'tools'
[2025-06-11 15:11:27,724] [INFO] [conversation_evaluator] ✅ Conversation 2 evaluation complete - Accuracy: 1.00
[2025-06-11 15:11:27,724] [INFO] [conversation_evaluator] 📊 Processing conversation 3/15
[2025-06-11 15:11:27,725] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 3
[2025-06-11 15:12:09,909] [ERROR] [conversation_evaluator] ❌ Exit agent test failed: 'CompiledStateGraph' object has no attribute 'tools'
[2025-06-11 15:12:09,910] [INFO] [conversation_evaluator] ✅ Conversation 3 evaluation complete - Accuracy: 1.00
[2025-06-11 15:12:09,910] [INFO] [conversation_evaluator] 📊 Processing conversation 4/15
[2025-06-11 15:12:09,910] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 4
[2025-06-11 15:12:53,331] [ERROR] [conversation_evaluator] ❌ Exit agent test failed: 'CompiledStateGraph' object has no attribute 'tools'
[2025-06-11 15:12:53,331] [INFO] [conversation_evaluator] ✅ Conversation 4 evaluation complete - Accuracy: 1.00
[2025-06-11 15:12:53,332] [INFO] [conversation_evaluator] 📊 Processing conversation 5/15
[2025-06-11 15:12:53,332] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 5
[2025-06-11 15:13:01,249] [ERROR] [conversation_evaluator] ❌ Exit agent test failed: 'CompiledStateGraph' object has no attribute 'tools'
[2025-06-11 15:13:01,250] [INFO] [conversation_evaluator] ✅ Conversation 5 evaluation complete - Accuracy: 1.00
[2025-06-11 15:13:01,250] [INFO] [conversation_evaluator] 📊 Processing conversation 6/15
[2025-06-11 15:13:01,250] [INFO] [conversation_evaluator] 🎯 Evaluating conversation 6
[2025-06-11 15:13:10,315] [ERROR] [conversation_evaluator] ❌ Exit agent test failed: 'CompiledStateGraph' object has no attribute 'tools'
[2025-06-11 15:13:10,316] [INFO] [conversation_evaluator] ✅ Conversation 6 evaluation complete - Accuracy: 1.00
[2025-06-11 15:13:10,316] [INFO] [conversation_evaluator] 📊 Processing conversation 7/15
